YearlyIncome,MaritalStatus,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HouseOwner,CarsOwned,Age
90000,M,M,2,0,Bachelors,Professional,1,0,41
60000,S,M,3,3,Bachelors,Professional,0,1,36
60000,M,M,3,3,Bachelors,Professional,1,1,41
70000,S,F,0,0,Bachelors,Professional,0,1,39
80000,S,F,5,5,Bachelors,Professional,1,4,33
70000,S,M,0,0,Bachelors,Professional,1,1,36
70000,S,F,0,0,Bachelors,Professional,1,1,36
60000,M,M,3,3,Bachelors,Professional,1,2,43
60000,S,F,4,4,Bachelors,Professional,1,3,37
70000,S,M,0,0,Bachelors,Professional,0,1,43
70000,S,F,0,0,Bachelors,Professional,0,1,43
60000,M,M,4,4,Bachelors,Professional,1,4,43
100000,M,F,2,0,Bachelors,Management,1,2,33
100000,M,M,2,0,Bachelors,Management,1,3,33
100000,S,F,3,0,Bachelors,Management,0,3,39
30000,S,F,0,0,Partial College,Skilled Manual,0,1,28
30000,M,M,0,0,Partial College,Skilled Manual,1,1,28
20000,S,F,4,0,High School,Skilled Manual,1,2,63
30000,S,M,2,0,Partial College,Clerical,1,2,57
40000,S,M,0,0,High School,Skilled Manual,0,2,29
40000,S,M,0,0,High School,Skilled Manual,0,2,28
40000,S,F,0,0,Partial College,Skilled Manual,0,1,28
40000,M,M,0,0,Partial College,Skilled Manual,1,1,28
40000,M,M,0,0,Partial College,Skilled Manual,1,1,28
60000,M,M,0,0,Partial College,Skilled Manual,1,2,28
10000,M,M,2,1,Partial High School,Clerical,1,2,61
30000,S,M,2,0,Partial College,Clerical,0,2,61
30000,M,M,2,0,Partial College,Clerical,1,2,60
30000,M,F,2,0,Partial College,Clerical,1,2,61
30000,M,M,2,0,Partial College,Clerical,1,2,60
10000,M,F,2,1,Partial High School,Clerical,1,2,54
20000,M,F,4,0,High School,Skilled Manual,1,2,59
20000,M,F,4,0,High School,Skilled Manual,1,2,60
20000,M,M,4,0,High School,Skilled Manual,1,2,54
20000,M,F,4,0,High School,Skilled Manual,1,2,60
10000,M,F,2,1,Partial High School,Clerical,1,2,59
60000,M,F,0,0,Partial College,Skilled Manual,1,2,28
40000,S,F,0,0,Partial High School,Clerical,0,2,29
10000,M,F,2,1,Partial High School,Clerical,1,2,59
30000,M,M,3,0,Partial College,Clerical,1,2,58
30000,M,M,0,0,Partial College,Skilled Manual,1,2,29
60000,M,F,0,0,Partial College,Skilled Manual,1,2,29
70000,M,F,0,0,Partial College,Skilled Manual,1,2,30
60000,M,M,0,0,Partial College,Skilled Manual,1,2,31
20000,M,M,2,1,Partial High School,Clerical,1,2,58
30000,S,M,3,0,High School,Skilled Manual,0,2,57
30000,M,F,3,0,High School,Skilled Manual,1,2,57
30000,M,F,3,0,High School,Skilled Manual,0,2,57
30000,M,M,3,0,High School,Skilled Manual,1,2,56
40000,S,F,0,0,Partial High School,Clerical,1,2,26
30000,M,M,3,0,High School,Skilled Manual,1,2,55
30000,S,M,3,0,High School,Skilled Manual,0,2,55
40000,S,F,2,0,Partial College,Clerical,0,2,55
60000,M,F,0,0,Partial College,Skilled Manual,0,2,26
40000,M,F,2,0,Partial College,Skilled Manual,1,2,55
40000,M,M,2,0,Partial College,Skilled Manual,1,2,55
40000,M,F,3,0,Partial College,Skilled Manual,1,2,54
70000,M,M,2,0,Graduate Degree,Management,1,2,42
80000,M,M,2,0,Partial College,Skilled Manual,1,2,47
80000,S,F,2,0,Partial College,Skilled Manual,1,2,53
80000,M,M,2,0,Partial College,Skilled Manual,1,2,53
80000,M,M,2,0,Partial College,Skilled Manual,1,2,36
40000,M,M,0,0,High School,Skilled Manual,1,2,31
40000,S,F,0,0,High School,Skilled Manual,1,2,32
40000,M,M,0,0,High School,Skilled Manual,1,2,31
60000,M,F,0,0,Partial College,Skilled Manual,0,2,33
70000,M,F,0,0,Partial College,Professional,1,2,33
60000,S,M,0,0,Partial College,Professional,1,2,30
80000,S,F,2,0,High School,Skilled Manual,1,2,46
80000,S,F,2,0,High School,Skilled Manual,0,2,46
80000,M,M,2,0,High School,Skilled Manual,1,2,52
80000,S,F,2,0,High School,Skilled Manual,1,2,52
80000,S,F,2,0,High School,Skilled Manual,0,2,52
70000,S,F,2,0,High School,Skilled Manual,1,2,50
70000,S,M,2,0,High School,Skilled Manual,1,2,50
80000,S,F,2,0,High School,Professional,1,2,49
80000,S,M,2,0,High School,Professional,1,2,49
80000,S,F,2,0,High School,Professional,0,2,49
40000,S,F,0,0,High School,Professional,0,2,27
160000,S,M,0,0,Graduate Degree,Management,1,2,42
170000,M,M,0,0,Graduate Degree,Management,1,2,47
120000,M,F,2,2,Bachelors,Management,1,3,40
